Identifier,Label,Description,Created,Modified,History notes,Type,Status,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped type,Mapped status
1,About the council,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,,,,,,,,,
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1137,Civic liability,Service,Live
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1465,Council  expenditure,Service,Live
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,916,Economic information and analysis,Service,Live
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,348,Economic reports and forecasts,Service,Live
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,725,Performance measurement and reporting,Service,Live
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1584,Transparency of accounts,Service,Live
2,"Budgets, spending and performance",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1573,Transparency of senior salaries,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,370,Change of circumstances,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,366,Community engagement,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,645,Complaints advocacy,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1536,Customer feedback and suggestions,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,653,Customer satisfaction surveys,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,49,Education consultations,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1306,Petitions,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,724,Referenda,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,867,Service delivery consultation,Service,Live
3,Consultation and feedback,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,658,Spending plans consultation,Service,Live
4,Contact the council,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1413,Civic buildings,Service,Live
5,Council publications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,354,"Minutes, agendas and reports",Service,Live
5,Council publications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,359,News and information releases,Service,Live
5,Council publications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,659,Publications,Service,Live
6,Council structure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,,,,,
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1045,Civic recognition and awards,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1703,Councillor casual vacancies,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1574,Councillors allowances and expenses,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,355,Councillors declaration of interest,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,358,Councillors directory,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,357,Councillors surgeries,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1651,Lord Lieutenant,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1701,Mayoral elections,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,360,Mayoral invitations,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1702,Members and officers code of conduct,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,687,Members of Parliament,Service,Live
7,Councillors and MPs,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,723,Parish/town council and councillors,Service,Live
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,721,Election results,Service,Live
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1679,Electoral areas,Service,Live
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,365,Electoral nominations,Service,Live
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,364,Electoral register,Service,Live
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1013,Postal voting,Service,Live
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,361,Proxy voting,Service,Live
8,Elections and voting,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,362,Voting,Service,Live
9,Local information and statistics,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,883,"Catering, sales and vending",Service,Live
9,Local information and statistics,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,367,Census information,Service,Live
9,Local information and statistics,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1577,Open data publication,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1466,Accessibility of local facilities,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,853,Accessibility of Web sites,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,877,Area waste strategy,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1390,Byelaws and regulations,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,720,Community strategy,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,353,Complaints procedure,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,1291,Constitution,Service,Live
10,"Strategies, plans and policies",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,Discontinued,1,About the council,About the council,,contains,826,Data Protection,Service,Live
